Airline Name,Airline Country,Airline Code
Shree Airlines,N9 / SHA,N9
Siam General Aviation,5E / SGN,5E
Sichuan Airlines,3U / CSC,3U
Sierra Pacific Airlines,SI / SPA,SI
Silk Way Airlines,ZP / AZQ,ZP
Silk Way West Airlines,7L / AZG,7L
Silkavia,US / USA,US
Silver Airways,3M / SIL,3M
Singapore Airlines,SQ / SIA,SQ
Sirius Aero,SA / CIG,SA
SKS Airways,KI / SJB,KI
Sky Airline,H2 / SKU,H2
Sky Angkor Airlines,ZA / SWM,ZA
Sky Cana,RD / SNA,RD
SKY express,GQ / SEH,GQ
Sky Lease Cargo,GG / KYE,GG
Sky Mali,ML / FML,ML
Sky Vision Airlines,SE / SVI,SE
SkyAlps,BQ / SWU,BQ
SKYhigh Dominicana,DO / SHH,DO
SkyJet Airlines,M8 / MSJ,M8
Skyline Express,QU / UTN,QU
Skymark Airlines,BC / SKY,BC
Skytaxi,TE / IGA,TE
Skytrans,QN / SKP,QN
SkyUp Airlines,PQ / SQP,PQ
Skyward Express,OW / SEW,OW
SkyWest Airlines,OO / SKW,OO
SkyWest Charter,CW / SCW,CW
Smartavia,5N / AUL,5N
SmartLynx,6Y / ART,6Y
Smartwings,QS / TVS,QS
Solaseed Air,6J / SNJ,6J
Solinair,ZS / SOP,ZS
Solomon Airlines,IE / SOL,IE
Somon Air,SZ / SMR,SZ
South African Airways,SA / SAA,SA
Southern Air Charter,PL / SOA,PL
Southern Airways Express,9X / FDY,9X
Southwest Airlines,WN / SWA,WN
Southwind Airlines,2S / STW,2S
SpiceJet,SG / SEJ,SG
Spirit Airlines,NK / NKS,NK
Spring Airlines,9C / CQH,9C
Spring Japan,IJ / SJO,IJ
SprintAir,P8 / SRN,P8
SriLankan Airlines,UL / ALK,UL
Sriwijaya Air,SJ / SJY,SJ
St Barth Commuter,PV / SBU,PV
St Barth Executive,LE / STB,LE
Star Air,S5 / SDG,S5
Star East Airlines,4R / SEK,4R
Star Peru,2I / SRU,2I
Starflyer,7G / SFJ,7G
Starlink Aviation,Q4 / TLK,Q4
Starlux,JX / SJX,JX
Sudan Airways,SD / SUD,SD
Sun Country Airlines,SY / SCX,SY
Sun-Air,EZ / SUS,EZ
Sunclass Airlines,DK / VKG,DK
Sundair,SR / SDR,SR
SunExpress,XQ / SXS,XQ
Sunlight Air,2R / RLB,2R
Sunrise Airways,S6 / KSZ,S6
Sunwing Airlines,WG / SWG,WG
Suparna Airlines,Y8 / YZR,Y8
Super Air Jet,IU / SJV,IU
Supernova Airlines,P7 / NPG,P7
Surinam Airways,PY / SLM,PY
Swiftair,WT / SWT,WT
Swiss,LX / SWR,LX
Sylt Air,7E / AWU,7E
Syrian Air,RB / SYR,RB
T'way Air,TW / TWB,TW
TAAG Angola Airlines,DT / DTA,DT
TAB Cargo,2L / BOL,2L
TagAirlines,5U / TGU,5U
Tailwind Airlines,TI / TWI,TI
Tanana Air Service,Z3 / TNR,Z3
TAP Air Portugal,TP / TAP,TP
TAR Aerolineas,YQ / LCT,YQ
Tarco Aviation,3T / TQQ,3T
Tarom,RO / ROT,RO
Tassili Airlines,SF / DTH,SF
Tbilisi Airways,TD / TBC,TD
Terra Avia,T8 / TVR,T8
